 ,en,pl
PLAY,Play,Gra
CREDITS,Credits,Twórcy
SETTINGS,Settings,Ustawienia
EXIT,Exit,Wyjście
AUDIO:,Audio:,Audio:
FX:,FX:,Efekty:
MUSIC:,Music:,Muzyka:
GRAPHICS:,Graphics:,Grafika:
FULL SCREEN,Full screen,Pełny ekran
BACK,Back,Wróć
PAUSE,PAUSED,PAUZA
RESUME,Resume,Wznów
SURRENDER,Surrender,Zakończ
JUMP,Jump,Skok
BACKFLIP,Backflip,Salto
GAME OVER,GAME OVER,KONIEC GRY
DISTANCE:,Distance:,Dystans:
COINS:,Coins:,Monety:
JUMPS:,Jumps:,Skoki:
BACKFLIPS:,Backflips:,Salta:
YOUR SCORE:,Your score:,Twój wynik:
SCORE,Score,Wynik
RETRY,Retry,Spróbuj ponownie
ACCELERATE,Accelerate,Przyspiesz
BRAKE/BACK,Brake/Back,Hamuj/Tył
TILT_LEFT,Tilt left,Pochyl w lewo
TILT_RIGHT,Tilt right,Pochyl w prawo
HAND_BRAKE,Handbrake,Hamulec ręczny
NITROUS,Nitrous,Nitro
VSYNC,Vsync,VSYNC
MSAA 2D,MSAA 2D,MSAA 2D
